        Date           ibcm1  
2023-10-10 08:21:57     14.218
2023-10-10 08:21:59    14.3071
2023-10-10 08:22:01    14.0209
2023-10-10 08:22:03    13.9365
2023-10-10 08:22:05    13.8759
2023-10-10 08:22:07    13.8186
2023-10-10 08:22:09    13.9243
2023-10-10 08:22:13    13.9682
2023-10-10 08:22:15    14.1802
2023-10-10 08:22:17    14.1166
2023-10-10 08:22:19    11.3661
2023-10-10 08:22:21  -0.031285
2023-10-10 08:22:41  0.0880743
2023-10-10 08:22:43    1.84752
2023-10-10 08:22:45    2.24228
2023-10-10 08:22:47     2.9552
2023-10-10 08:22:49    6.03604
2023-10-10 08:22:51    8.77809
2023-10-10 08:22:53    7.82792
2023-10-10 08:22:55 -0.0313707
2023-10-10 08:23:13    1.15457
2023-10-10 08:23:15    2.09945
2023-10-10 08:23:17    2.44319
2023-10-10 08:23:19    5.43006
2023-10-10 08:23:21    7.43711
2023-10-10 08:23:23    10.4633
2023-10-10 08:23:25    13.0076
2023-10-10 08:23:27    13.6245
2023-10-10 08:23:29    13.7044
2023-10-10 08:23:31    13.6755
2023-10-10 08:23:33    13.6985
2023-10-10 08:23:35    13.8562
2023-10-10 08:23:37    13.7501
2023-10-10 08:23:39    13.9601
2023-10-10 08:23:41    14.0024
2023-10-10 08:23:43    14.2118
2023-10-10 08:23:45    14.1007
2023-10-10 08:23:47    14.3494
2023-10-10 08:23:49    14.3074
2023-10-10 08:23:51    14.0828
2023-10-10 08:23:53    14.1857
2023-10-10 08:23:55    14.0996
2023-10-10 08:23:57    14.2576
2023-10-10 08:23:59    14.1161
2023-10-10 08:24:01    14.1951
2023-10-10 08:24:03    14.1764
2023-10-10 08:24:07    14.2568
2023-10-10 08:24:09    13.9436
2023-10-10 08:24:11     14.439
2023-10-10 08:24:13    14.3894
2023-10-10 08:24:15    14.4877
2023-10-10 08:24:17    14.5552
2023-10-10 08:24:19    14.3686
2023-10-10 08:24:21    14.3424
2023-10-10 08:24:23    14.4762
2023-10-10 08:24:25    14.3637
2023-10-10 08:24:27     14.175
2023-10-10 08:24:29    14.4745
2023-10-10 08:24:31    14.4086
2023-10-10 08:24:33    14.2935
2023-10-10 08:24:35    14.1425
2023-10-10 08:24:39    14.4175
2023-10-10 08:24:41    14.2477
2023-10-10 08:24:43    14.0698
2023-10-10 08:24:45    14.2238
2023-10-10 08:24:47    14.4353
2023-10-10 08:24:49    14.4701
2023-10-10 08:24:51    14.3468
2023-10-10 08:24:53    14.5934
2023-10-10 08:24:55    14.4612
2023-10-10 08:24:57    14.6357
2023-10-10 08:24:59    14.6083
2023-10-10 08:25:01    14.4501
2023-10-10 08:25:03    14.2813
2023-10-10 08:25:05    14.5505
2023-10-10 08:25:07    14.2493
2023-10-10 08:25:09    14.3163
2023-10-10 08:25:11    14.1953
2023-10-10 08:25:13    14.3107
2023-10-10 08:25:15    13.9198
2023-10-10 08:25:17    14.1814
2023-10-10 08:25:19     14.481
2023-10-10 08:25:21     14.227
2023-10-10 08:25:23    14.2597
2023-10-10 08:25:25    14.2164
2023-10-10 08:25:27    14.0461
2023-10-10 08:25:29    13.9899
2023-10-10 08:25:31     14.321
2023-10-10 08:25:33    14.2323
2023-10-10 08:25:35    14.0736
2023-10-10 08:25:37    13.9085
2023-10-10 08:25:39    13.9958
2023-10-10 08:25:41     13.929
2023-10-10 08:25:45     14.259
2023-10-10 08:25:47    14.3657
2023-10-10 08:25:49    14.1778
2023-10-10 08:25:53    14.3071
2023-10-10 08:25:55     14.551
2023-10-10 08:25:57    14.6626
2023-10-10 08:25:59    14.4641
2023-10-10 08:26:01    14.3731
2023-10-10 08:26:03     14.482
2023-10-10 08:26:05    14.5552
2023-10-10 08:26:07    14.6347
2023-10-10 08:26:09    14.4323
2023-10-10 08:26:11    14.2673
2023-10-10 08:26:13    14.2982
2023-10-10 08:26:15    14.2344
2023-10-10 08:26:17    14.2518
2023-10-10 08:26:19    14.0103
2023-10-10 08:26:21    14.2499
2023-10-10 08:26:23    14.5502
2023-10-10 08:26:25    14.4196
2023-10-10 08:26:27    14.3114
2023-10-10 08:26:29    14.0175
2023-10-10 08:26:31    14.0627
2023-10-10 08:26:33    14.1137
2023-10-10 08:26:35    14.2605
2023-10-10 08:26:37    14.3779
2023-10-10 08:26:39    14.2208
2023-10-10 08:26:41    14.1959
2023-10-10 08:26:43    14.3345
2023-10-10 08:26:45    14.2297
2023-10-10 08:26:47    14.1192
2023-10-10 08:26:49    14.2283
2023-10-10 08:26:51    14.0687
2023-10-10 08:26:53    13.9993
2023-10-10 08:26:55    14.3406
2023-10-10 08:26:57    14.5975
2023-10-10 08:26:59     14.353
2023-10-10 08:27:01    14.2601
2023-10-10 08:27:03    14.3508
2023-10-10 08:27:05    14.2668
2023-10-10 08:27:07    14.3874
2023-10-10 08:27:09    14.4061
2023-10-10 08:27:11    14.3296
2023-10-10 08:27:13    14.3431
2023-10-10 08:27:15    14.4517
2023-10-10 08:27:17     14.409
2023-10-10 08:27:19    14.3623
2023-10-10 08:27:21    14.3911
2023-10-10 08:27:23    14.3094
