        Date        hcnps_intlk_chiller_CZ_read_chiller_temp
2023-11-09 14:05:19                                    19.96
2023-11-09 14:06:40                                    20.02
2023-11-09 14:10:15                                    20.06
2023-11-09 14:11:36                                    20.01
2023-11-09 14:13:51                                    20.05
2023-11-09 14:14:45                                    20.02
2023-11-09 14:17:26                                    20.06
2023-11-09 14:19:41                                    20.09
2023-11-09 14:20:07                                    20.06
2023-11-09 14:24:10                                    20.03
2023-11-09 14:25:04                                    20.06
2023-11-09 14:25:31                                    20.03
2023-11-09 14:32:41                                    19.99
2023-11-09 14:34:02                                    20.02
2023-11-09 14:34:56                                    19.98
2023-11-09 14:35:23                                    20.02
2023-11-09 14:36:43                                    19.99
2023-11-09 14:37:37                                    20.01
2023-11-09 14:38:04                                    19.99
2023-11-09 14:43:27                                    20.01
2023-11-09 14:43:54                                    19.98
2023-11-09 14:44:48                                    20.01
2023-11-09 14:45:42                                    19.98
2023-11-09 14:46:36                                    20.02
2023-11-09 14:47:29                                    19.99
2023-11-09 14:48:50                                    20.01
2023-11-09 14:49:17                                    19.98
2023-11-09 14:50:11                                    20.01
2023-11-09 14:50:38                                    19.98
2023-11-09 14:53:19                                    19.94
2023-11-09 14:59:09                                    20.01
2023-11-09 15:01:24                                    20.06
2023-11-09 15:02:17                                    20.03
2023-11-09 15:02:44                                    20.06
2023-11-09 15:03:11                                    20.09
2023-11-09 15:04:05                                    20.03
2023-11-09 15:04:32                                    20.06
2023-11-09 15:12:37                                    20.02
2023-11-09 15:13:57                                    20.06
2023-11-09 15:14:51                                    20.03
2023-11-09 15:18:26                                       20
2023-11-09 15:19:20                                    20.03
2023-11-09 15:23:23                                    19.98
2023-11-09 15:24:43                                    20.02
2023-11-09 15:26:04                                    19.99
2023-11-09 15:26:31                                    20.02
2023-11-09 15:33:15                                    19.98
2023-11-09 15:34:35                                    19.95
2023-11-09 15:38:11                                    19.92
2023-11-09 15:39:31                                    19.95
2023-11-09 15:41:19                                    19.99
2023-11-09 15:41:46                                    20.02
2023-11-09 15:42:13                                    19.97
2023-11-09 15:42:40                                    20.01
2023-11-09 15:44:01                                    19.98
2023-11-09 15:44:27                                    20.01
2023-11-09 15:45:21                                    20.04
2023-11-09 15:46:15                                    20.07
2023-11-09 15:50:17                                    20.02
2023-11-09 15:52:32                                    20.05
2023-11-09 15:53:26                                    19.99
2023-11-09 15:53:53                                    20.02
2023-11-09 15:55:40                                    20.06
2023-11-09 16:01:30                                    20.01
2023-11-09 16:02:51                                    20.04
2023-11-09 16:03:18                                    20.07
2023-11-09 16:03:45                                    20.04
2023-11-09 16:05:06                                    20.08
2023-11-09 16:05:59                                    20.04
2023-11-09 16:06:26                                    20.07
2023-11-09 16:07:47                                    20.02
2023-11-09 16:08:14                                    20.05
2023-11-09 16:10:29                                    20.08
2023-11-09 16:10:55                                    20.05
2023-11-09 16:11:49                                       20
2023-11-09 16:12:16                                    20.05
2023-11-09 16:12:43                                    20.02
2023-11-09 16:14:04                                    20.05
2023-11-09 16:15:25                                    20.02
2023-11-09 16:15:51                                    20.05
2023-11-09 16:19:00                                    20.01
2023-11-09 16:19:27                                    20.06
2023-11-09 16:19:54                                    20.03
2023-11-09 16:21:14                                    20.06
2023-11-09 16:22:08                                    19.98
2023-11-09 16:23:29                                    19.94
2023-11-09 16:26:37                                    19.97
2023-11-09 16:27:31                                    19.94
2023-11-09 16:34:15                                    19.97
2023-11-09 16:38:44                                    19.94
2023-11-09 16:39:38                                    19.98
2023-11-09 16:40:32                                    19.93
2023-11-09 16:40:59                                    19.97
2023-11-09 16:42:19                                    19.94
2023-11-09 16:43:13                                    19.97
2023-11-09 16:44:07                                    19.94
2023-11-09 16:45:01                                    19.97
2023-11-09 16:45:55                                    19.94
2023-11-09 16:46:49                                    19.97
2023-11-09 16:47:42                                    19.94
2023-11-09 16:48:36                                    19.98
2023-11-09 16:49:30                                    19.95
2023-11-09 16:50:24                                    19.98
2023-11-09 16:51:18                                    19.95
2023-11-09 16:52:11                                    19.98
2023-11-09 16:54:53                                    19.95
2023-11-09 16:59:22                                    19.98
2023-11-09 17:00:16                                    19.94
2023-11-09 17:01:36                                    19.97
2023-11-09 17:09:41                                    20.02
2023-11-09 17:10:35                                    20.08
2023-11-09 17:13:43                                    20.05
2023-11-09 17:17:45                                    20.08
2023-11-09 17:18:39                                    20.05
2023-11-09 17:19:33                                    20.08
2023-11-09 17:20:27                                    20.04
2023-11-09 17:21:21                                    20.07
2023-11-09 17:23:35                                    20.04
2023-11-09 17:24:56                                    20.08
2023-11-09 17:25:50                                    20.05
2023-11-09 17:29:25                                    20.02
2023-11-09 17:32:07                                    20.06
2023-11-09 17:33:01                                    20.03
2023-11-09 17:33:28                                       20
2023-11-09 17:33:55                                    20.05
2023-11-09 17:35:15                                    20.01
2023-11-09 17:37:30                                    20.04
2023-11-09 17:39:18                                    20.01
2023-11-09 17:39:44                                    20.04
2023-11-09 17:40:38                                    19.98
2023-11-09 17:41:05                                    20.02
2023-11-09 17:42:26                                    19.99
2023-11-09 17:43:20                                    20.02
2023-11-09 17:43:47                                    19.95
2023-11-09 17:45:07                                    19.99
2023-11-09 17:46:01                                    19.96
2023-11-09 17:46:28                                    19.92
2023-11-09 17:46:55                                    19.96
2023-11-09 17:48:43                                       20
2023-11-09 17:52:18                                    20.04
2023-11-09 17:55:00                                    19.98
2023-11-09 17:55:27                                    20.01
2023-11-09 17:55:54                                    20.05
2023-11-09 17:59:02                                    20.02
2023-11-09 17:59:29                                    20.05
2023-11-09 18:01:43                                    20.08
2023-11-09 18:02:10                                    20.05
2023-11-09 18:07:06                                    20.08
2023-11-09 18:08:00                                    20.05
2023-11-09 18:09:48                                    20.02
2023-11-09 18:10:42                                    19.99
2023-11-09 18:12:29                                    20.02
2023-11-09 18:13:23                                    19.98
2023-11-09 18:14:17                                    20.03
2023-11-09 18:14:44                                    19.95
2023-11-09 18:16:05                                       20
